"event-id","visible","timestamp","location-long","location-lat","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","GlobCover 2009 2009 Land-Cover Classification"
"3942427093","true","2016-09-13 00:00:00.000","-105.18078","40.59461","3.0","5","gps","","2","2231-55432","grcaMigration-Ryder","110"
"3942427094","true","2016-09-16 00:00:00.000","-105.18538","40.59371","6.0","5","gps","","2","2231-55432","grcaMigration-Ryder","110"
"3942427095","true","2016-09-19 00:00:00.000","-94.3312","37.34384","2.7","6","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427096","true","2016-09-22 00:00:00.000","-94.16138","37.35443","4.3","6","gps","","2","2231-55432","grcaMigration-Ryder","140"
"3942427097","true","2016-09-25 00:00:00.000","-94.16165","37.3543","2.2","6","gps","","2","2231-55432","grcaMigration-Ryder","140"
"3942427098","true","2016-10-07 00:00:00.000","-96.23873","28.88313","1.5","5","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427099","true","2016-10-10 00:00:00.000","-96.23867","28.88372","9.8","4","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427100","true","2016-10-13 00:00:00.000","-96.2386","28.88324","1.4","6","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427101","true","2016-10-19 00:00:00.000","-96.23864","28.88315","2.4","5","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427102","true","2016-10-22 00:00:00.000","-96.23865","28.88328","1.4","6","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427103","true","2016-10-25 00:00:00.000","-96.23859","28.8832","2.8","5","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427104","true","2016-10-28 00:00:00.000","-96.23862","28.88327","1.0","8","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427105","true","2016-11-18 00:00:00.000","-96.23871","28.8832","2.3","6","gps","","2","2231-55432","grcaMigration-Ryder","30"
"3942427106","true","2016-11-24 00:00:00.000","-96.23889","28.88327","3.9","5","gps","","2","2231-55432","grcaMigration-Ryder","30"
