"event-id","visible","timestamp","location-long","location-lat","comments","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","GlobCover 2009 2009 Land-Cover Classification","MODIS Land Terra Vegetation Indices 250m 16d Enhanced Vegetation Index","MODIS Land Terra Vegetation Indices 250m 16d NDVI","NCEP NARR SFC Vegetation at Surface"
"3959675114","true","2016-11-01 00:00:00.000","-98.7918402593065","28.21597585545862","","","","gps","","0","0","grcaMigration-Ryder","120","0.24540565743520887","0.5067782505198318","29.11228729347214"
"3959675112","true","2016-11-02 00:00:00.000","-98.11381544430797","27.021864350259612","","","","gps","","0","0","grcaMigration-Ryder","140","0.33388598617255905","0.5787119233380432","34.39532223684216"
"3959675138","true","2016-11-03 00:00:00.000","-97.47384219260985","27.43533389614933","","","","gps","","0","0","grcaMigration-Ryder","70","0.28094075380413497","0.5568391765132991","NaN"
"3959675125","true","2016-11-04 00:00:00.000","-97.47861187677617","29.46534801994868","","","","gps","","0","0","grcaMigration-Ryder","50","0.3228011264718591","0.6008816516619476","43.971658598351254"
"3959675127","true","2016-11-05 00:00:00.000","-96.35657012405221","31.300426244425914","","","","gps","","0","0","grcaMigration-Ryder","20","0.31067672839481975","0.5819630165203877","53.360640129130836"
"3959675149","true","2016-11-06 00:00:00.000","-93.36627351177415","30.46960376099601","","","","gps","","0","0","grcaMigration-Ryder","50","0.3432310283939735","0.7499636830517089","58.105133243684506"
"3959675122","true","2016-11-07 00:00:00.000","-92.14359889187607","30.250908261018886","","","","gps","","0","0","grcaMigration-Ryder","140","0.33230731030630817","0.5817757730322454","53.992287748329765"
"3959675102","true","2016-11-08 00:00:00.000","-97.48403002574092","30.302238821560135","","","","gps","","0","0","grcaMigration-Ryder","140","0.2786907000801015","0.570882103318637","41.38431590423542"
"3959675065","true","2016-11-09 00:00:00.000","-81.18416415376988","23.013843852760118","","","","gps","","0","0","grcaMigration-Ryder","30","0.4435074846828672","0.7374134203844027","NaN"
"3959675110","true","2016-11-10 00:00:00.000","-81.48284637363821","30.521071407392398","","","","gps","","0","0","grcaMigration-Ryder","50","0.31810321129650615","0.6911945716871034","NaN"
"3959675134","true","2016-11-11 00:00:00.000","-82.34168226571492","29.134284794730835","","","","gps","","0","0","grcaMigration-Ryder","120","0.34930167214452057","0.6803310869877056","56.301873324867834"
"3959675099","true","2016-11-12 00:00:00.000","-84.63451500121164","29.94649393324197","","","","gps","","0","0","grcaMigration-Ryder","50","0.4224515217054893","0.7725680456336061","NaN"
"3959675095","true","2016-11-13 00:00:00.000","-97.56461904507876","25.92942109283112","","","","gps","","0","0","grcaMigration-Ryder","110","0.32726205527670543","0.6589675132551055","18.12637297592435"
"3959675150","true","2016-11-14 00:00:00.000","-81.86155009688201","30.01727811013648","","","","gps","","0","0","grcaMigration-Ryder","50","0.3594217185755726","0.7205686604576295","55.70784317328949"
"3959675120","true","2016-11-15 00:00:00.000","-81.55118560554783","26.1447707234665","","","","gps","","0","0","grcaMigration-Ryder","70","0.37174527443255323","0.7063704800357713","NaN"
"3959675097","true","2016-11-16 00:00:00.000","-82.41750026742261","28.398102497005297","","","","gps","","0","0","grcaMigration-Ryder","140","0.3246625012296261","0.5822007131483561","46.81710222492394"
"3959675113","true","2016-11-17 00:00:00.000","-97.1855535428405","28.498628560863814","","","","gps","","0","0","grcaMigration-Ryder","20","0.29183192378004197","0.5136668200783624","44.54937818701787"
"3959675081","true","2016-11-18 00:00:00.000","-94.20515360030532","30.557210141032385","","","","gps","","0","0","grcaMigration-Ryder","100","0.380320760357768","0.7975830353125833","67.76330731145944"
"3959675146","true","2016-11-19 00:00:00.000","-83.51177198922497","29.78408741854995","","","","gps","","0","0","grcaMigration-Ryder","50","0.2630637618321321","0.612389726185169","NaN"
"3959675143","true","2016-11-20 00:00:00.000","-95.6862931040645","30.26699332863947","","","","gps","","0","0","grcaMigration-Ryder","50","0.3355673801821082","0.6799040931940235","58.91147834506979"
"3959675126","true","2016-11-21 00:00:00.000","-82.58746602004692","30.81793816754231","","","","gps","","0","0","grcaMigration-Ryder","50","0.3702625538505928","0.8027050699185251","63.67905267683827"
"3959675096","true","2016-11-22 00:00:00.000","-98.44378439153733","27.10248093739725","","","","gps","","0","0","grcaMigration-Ryder","140","0.17783230920607407","0.3974818499794287","31.314493180278415"
"3959675118","true","2016-11-23 00:00:00.000","-97.77384692317379","27.402079017624338","","","","gps","","0","0","grcaMigration-Ryder","140","0.2612874173173679","0.44715041017816687","30.282339415009268"
"3959675101","true","2016-11-24 00:00:00.000","-98.27261887378597","24.202418903762656","","","","gps","","0","0","grcaMigration-Ryder","70","0.39246534682169226","0.6882448964618026","50.456764686324036"
"3959675076","true","2016-11-25 00:00:00.000","-90.16814184890004","30.302857798376525","","","","gps","","0","0","grcaMigration-Ryder","210","NaN","NaN","NaN"
"3959675082","true","2016-11-26 00:00:00.000","-97.73838965166237","27.286728982437012","","","","gps","","0","0","grcaMigration-Ryder","14","0.33504756530213986","0.5277183020634284","32.066914431819875"
"3959675074","true","2016-11-27 00:00:00.000","-93.14779495803579","30.347226643289403","","","","gps","","0","0","grcaMigration-Ryder","140","0.29854657958950215","0.5738923360717285","54.894342574351334"
"3959675073","true","2016-11-28 00:00:00.000","-82.71065401314819","29.747336912948867","","","","gps","","0","0","grcaMigration-Ryder","140","0.2569576747577434","0.5453305480368595","61.300693816000354"
