"event-id","visible","timestamp","location-long","location-lat","comments","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","MODIS Land Terra Surface Temp & Emissivity 1km 8d Land Surface Temperature Nighttime","NCEP NARR SFC Total Precipitation at Surface (Accumulated)","NCEP NARR FLX V Wind at 30 m above Ground","NCEP NARR SFC Pressure at Surface","NCEP NARR FLX Dew Point Temperature at 2 m above Ground","NCEP NARR SFC Evaporation at Surface (Accumulated)","MODIS Land Terra Surface Temp & Emissivity 1km 8d Land Surface Temperature Daytime","NCEP NARR FLX U Wind at 30 m above Ground","NCEP NARR FLX U Wind at 10 m above Ground","NCEP NARR FLX V Wind at 10 m above Ground"
"3959675114","true","2016-11-01 00:00:00.000","-98.7918402593065","28.21597585545862","","","","gps","","0","0","grcaMigration-Ryder","293.8883861642704","0.0","2.4417046288327233","100037.81916480615","291.8928592975506","0.24314457","301.456996666153","-2.927812813518117","-1.8497710781552867","1.5392254079903487"
"3959675112","true","2016-11-02 00:00:00.000","-98.11381544430797","27.021864350259612","","","","gps","","0","0","grcaMigration-Ryder","293.35712980694996","0.0","4.29080560821587","100959.15549149856","293.8979710123492","0.2085579","303.0795137773502","-5.469594198523027","-5.386366794250844","4.27789425092598"
"3959675138","true","2016-11-03 00:00:00.000","-97.47384219260985","27.43533389614933","","","","gps","","0","0","grcaMigration-Ryder","296.16250342735435","0.0078125","4.047667468453534","101721.67844325336","295.7014024056378","0.2554593","NaN","-5.174016412825612","-5.349756361784424","2.8342666113556443"
"3959675125","true","2016-11-04 00:00:00.000","-97.47861187677617","29.46534801994868","","","","gps","","0","0","grcaMigration-Ryder","289.71667599783757","6.296875","-0.474680158004668","100726.7109375","295.03356548636606","0.08581889","299.63503745797885","-2.4805456558758516","-1.5877289073330667","-0.3331111131323464"
"3959675127","true","2016-11-05 00:00:00.000","-96.35657012405221","31.300426244425914","","","","gps","","0","0","grcaMigration-Ryder","287.332643382904","0.390625","-2.0725972010946405","100749.42961694807","292.400764242734","0.25186217","300.47750105690614","-1.0809892991342092","-0.9840558130713164","-1.8654599917120445"
"3959675149","true","2016-11-06 00:00:00.000","-93.36627351177415","30.46960376099601","","","","gps","","0","0","grcaMigration-Ryder","287.22290768515677","0.0","-1.5208583425835513","101963.10005207542","286.8329554496466","0.381918","298.31207764111537","-2.212518287076577","-2.0933137642571342","-1.5097619777607987"
"3959675122","true","2016-11-07 00:00:00.000","-92.14359889187607","30.250908261018886","","","","gps","","0","0","grcaMigration-Ryder","285.9375754856217","2.455376E-4","2.3154883392682892","102026.184407733","292.8283847998203","0.26592243","299.9988324576842","-2.325494902069398","-1.9960706418121956","1.7333276705779614"
"3959675102","true","2016-11-08 00:00:00.000","-97.48403002574092","30.302238821560135","","","","gps","","0","0","grcaMigration-Ryder","288.0908710539471","0.0703125","0.0027036345202659795","99450.50901814149","291.7268409330716","0.33260095","299.0789034681759","-3.9743751916429058","-2.5872473076799647","-0.0014276663539760232"
"3959675065","true","2016-11-09 00:00:00.000","-81.18416415376988","23.013843852760118","","","","gps","","0","0","grcaMigration-Ryder","292.82886456555025","0.0","-1.8230716342815179","101379.89184411093","294.0320931258309","0.21098423","298.79266053366297","-5.748720474581145","-5.413391427690924","-1.5371006512764338"
"3959675110","true","2016-11-10 00:00:00.000","-81.48284637363821","30.521071407392398","","","","gps","","0","0","grcaMigration-Ryder","289.4624492664554","0.0","-0.6638226620631543","101785.08091722179","289.44996287746454","0.17488211","294.4019800389087","4.167388619634363","2.5244283793517694","0.28783012236221"
"3959675134","true","2016-11-11 00:00:00.000","-82.34168226571492","29.134284794730835","","","","gps","","0","0","grcaMigration-Ryder","283.9954657431312","0.0","-2.723353785435052","101785.984375","284.96800040409187","0.12628496","300.9399339950836","0.3304254303844998","0.3439655853479109","-2.630810420171215"
"3959675099","true","2016-11-12 00:00:00.000","-84.63451500121164","29.94649393324197","","","","gps","","0","0","grcaMigration-Ryder","283.8766211780912","0.0","-1.0591742841832428","101781.2169989078","284.8943117731345","0.90590894","293.57766742902874","3.361342984012626","2.7762181084442097","-1.9545546615145533"
"3959675095","true","2016-11-13 00:00:00.000","-97.56461904507876","25.92942109283112","","","","gps","","0","0","grcaMigration-Ryder","NaN","0.03125","-2.8613080743333033","102145.49232655873","289.4101824971725","0.12887675","302.0085303195038","2.284717433006887","1.304584869687905","-3.5012213778449217"
"3959675150","true","2016-11-14 00:00:00.000","-81.86155009688201","30.01727811013648","","","","gps","","0","0","grcaMigration-Ryder","283.0039077174298","0.0078125","-4.162905819710245","101464.88843722569","293.2845604440613","0.11471391","294.3972806212166","-0.4295183228028547","-0.3797442999647869","-3.554015066110626"
"3959675120","true","2016-11-15 00:00:00.000","-81.55118560554783","26.1447707234665","","","","gps","","0","0","grcaMigration-Ryder","287.65830074623466","0.0","-2.3087854692003296","101435.03125","292.6047893241677","0.39978576","299.23234969172165","-2.7167949721678135","-2.0003904616259804","-3.6013274653227842"
"3959675097","true","2016-11-16 00:00:00.000","-82.41750026742261","28.398102497005297","","","","gps","","0","0","grcaMigration-Ryder","283.6935018689882","0.0","-1.8449777830909326","101265.4296875","283.729451065373","0.17859209","297.2912777766303","1.4206959827139587","1.4055137414661394","-1.728964463176568"
"3959675113","true","2016-11-17 00:00:00.000","-97.1855535428405","28.498628560863814","","","","gps","","0","0","grcaMigration-Ryder","285.9337966030218","0.0","3.733406352119106","101038.69910430093","289.48134680324813","0.30092436","300.6712587668817","-3.5243060248136024","-3.579305870141379","3.6385387827409463"
