"event-id","visible","timestamp","location-long","location-lat","comments","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","MODIS Land Terra Surface Temp & Emissivity 1km Daily Land Surface Temperature Daytime","NCEP NARR SFC Total Precipitation at Surface (Accumulated)","NCEP NARR SFC Temperature at Surface","NCEP NARR FLX Dew Point Temperature at 2 m above Ground","NCEP NARR SFC Evaporation at Surface (Accumulated)","NCEP NARR FLX Relative Humidity at 2 m above Ground","MODIS Land Terra Surface Temp & Emissivity 1km Daily Land Surface Temperature Nighttime","MODIS Land Terra Surface Temp & Emissivity 1km 8d Land Surface Temperature Nighttime","NCEP NARR FLX V Wind at 30 m above Ground","NCEP NARR SFC Pressure at Surface","MODIS Land Terra Surface Temp & Emissivity 1km 8d Land Surface Temperature Daytime","NCEP NARR FLX U Wind at 30 m above Ground","NCEP NARR FLX U Wind at 10 m above Ground","NCEP NARR FLX V Wind at 10 m above Ground"
"3957846618","true","2016-10-04 23:00:10.000","-97.63101","30.22359","3/4","24.2","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0","304.88896368732094","295.2645323728157","0.5576558","59.59728982587487","NaN","291.48957788450025","6.396698467090653","98289.79171692865","302.6854953862117","-2.88068699649897","-2.3222961588809548","5.146149689449672"
"3957846619","true","2016-10-07 23:00:10.000","-96.23873","28.88313","5/5","1.5","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.1109761","303.293801230231","296.6224555035712","0.64436895","67.66358185304304","NaN","291.4135057710307","-2.4606702363168305","101429.38922384755","301.30273814668897","-2.920771035537883","-2.566732719361851","-2.0943404293223065"
"3957846620","true","2016-10-10 23:00:08.000","-96.23867","28.88372","4/4","9.8","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0","297.89373040362887","289.48986741919964","0.5364981","60.10230874809429","NaN","290.5479272758036","0.12963904439973234","101896.42392952768","300.3137892769814","-2.456653990415143","-2.5446318634299705","0.022892809002260484"
"3957846621","true","2016-10-13 23:00:07.000","-96.2386","28.88324","6/6","1.4","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.046875","301.0740727607365","297.07013781015","0.50402695","81.02783955781211","NaN","292.315470297908","4.616597617386972","101691.65675911962","300.89300280719965","-4.038937476916494","-3.817053423104043","3.828515228769912"
"3957846622","true","2016-10-16 23:00:06.000","-96.23864","28.88345","5/6","12.6","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0078125","302.35866486770766","297.9492751453649","0.36739844","81.71907014404977","NaN","294.25890900372644","5.114109684700673","101263.56238541196","301.4741884218453","-3.985763572146139","-3.5443183648135603","4.46101488787266"
"3957846623","true","2016-10-19 23:00:10.000","-96.23864","28.88315","5/5","2.4","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0","301.7766711713376","296.0263335659749","0.46349293","73.46074031483549","NaN","294.8607961880722","5.1848365906305425","101237.57274684338","301.7499125673048","-3.384058914289231","-3.1678410971933633","4.277959592076193"
"3957846624","true","2016-10-22 23:00:06.000","-96.23865","28.88328","6/7","1.4","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0","295.1742062436985","287.25677224262006","0.45799744","64.744067458588","NaN","292.66980499158683","2.3987606009864804","101921.1333550135","301.2894778874186","-2.4458412233469655","-2.307150170583491","1.956299155721362"
"3957846625","true","2016-10-25 23:00:08.000","-96.23859","28.8832","5/6","2.8","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0","298.5515083346236","293.3161768078604","0.3850901","77.18692397621754","NaN","290.48338934365745","4.3273823362255355","101737.5926046109","300.8318196042985","-4.255167584670965","-4.013118901793465","3.537712686163689"
"3957846626","true","2016-10-28 23:00:08.000","-96.23862","28.88327","8/9","1.0","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0","297.98531852705355","293.15303870817036","0.37625325","77.1323957835997","NaN","289.9201866964057","3.355031005841549","101892.58052315004","300.6541780297839","-4.003460119526525","-3.7795238134407896","2.4865625900560606"
"3957846627","true","2016-10-31 23:00:10.000","-96.20609","28.99557","3/4","6.7","","gps","","1383","2231-55432","grcaMigration-Ryder","NaN","0.0","299.96265352350184","295.18919720523076","0.34314454","78.61237008942804","NaN","288.79384859459526","5.234676357710933","101460.77805301394","301.377582816226","-3.5122906838495633","-3.1926148690746223","4.7695247565775105"
